userid,group,retention_1
72470,B,True
72555,A,True
72614,B,False
72661,B,False
72752,B,False
72813,A,True
72872,A,False
72918,B,False
72977,B,True
73378,B,True
73412,A,False
73868,B,False
74231,A,False
74276,A,True
74369,B,False
74377,A,True
74422,B,False
74568,A,True
75029,B,True
75734,B,False
76062,A,False
76089,B,False
76133,A,False
76549,A,False
76573,A,True
76598,A,False
76662,B,True
76767,B,False
76784,B,True
76895,B,False
76917,A,True
76934,B,False
77151,B,False
77172,A,False
77195,B,True
77468,A,False
77495,B,False
77644,A,False
77731,A,True
77812,B,False
77821,B,False
77837,B,False
77850,A,True
78089,A,False
78142,B,False
78183,A,True
78237,A,False
78312,A,False
78409,A,True
78563,B,False
78846,A,False
78900,A,False
79646,B,True
79890,A,False
79929,B,False
80215,B,False
80282,A,True
80485,B,False
80496,B,False
80526,A,False
80582,B,False
80618,B,False
80634,B,True
80746,A,False
80754,B,False
80860,B,True
80884,A,False
80900,B,False
81447,A,False
81480,B,False
81524,A,True
81532,A,False
81668,B,False
81959,B,False
82064,A,True
82545,B,False
82655,B,False
82753,A,False
82783,B,True
82937,B,False
83072,A,True
83080,B,False
83103,A,False
83140,B,False
83254,A,True
83309,B,False
83317,B,False
83438,B,True
83732,B,False
83798,B,True
84100,A,True
84191,A,False
84208,B,False
84406,B,True
84816,B,True
84929,B,False
84961,B,False
85007,B,True
85277,A,True
85560,A,False
85601,A,False
85805,B,False
86342,A,False
86781,B,False
86821,B,True
87098,B,False
87220,B,False
87258,B,True
87276,A,False
87410,A,False
87419,A,False
87509,B,False
87542,A,True
87640,B,False
87649,B,False
87671,B,False
87697,B,False
87728,B,False
87827,A,True
88235,B,False
88282,A,True
88361,B,False
88392,A,True
88497,A,True
88521,B,False
88907,A,True
89272,B,False
89605,B,False
89618,A,False
90120,A,False
90233,A,False
90335,B,False
90481,B,False
90566,A,False
90640,A,False
90744,A,False
90755,A,True
90892,A,True
90916,B,True
90979,A,True
90992,B,True
91010,B,False
91027,A,False
91045,B,False
92061,B,True
92161,A,False
92162,A,False
92168,B,False
92286,A,True
92463,B,False
92638,B,False
92789,B,False
92914,B,False
93014,A,False
93131,B,False
93166,A,True
93241,A,False
93289,B,False
93646,A,False
93914,B,False
93957,A,False
93997,A,False
94159,A,True
94282,B,False
94407,A,False
94455,B,True
94639,A,False
94768,A,False
94904,A,True
95033,A,True
95357,B,True
95371,A,True
95530,A,False
95696,B,False
95946,A,False
96038,B,False
96058,A,True
96076,A,True
96123,B,False
96471,A,True
96535,B,False
96561,B,True
96675,A,True
96744,A,True
96745,B,True
97019,A,False
97308,A,True
97461,B,False
97741,A,False
97754,A,True
97777,B,True
97849,A,True
97873,B,True
97971,A,True
98151,A,False
98229,A,True
98354,B,False
98592,B,False
98833,A,False
98955,A,False
99178,A,False
99252,B,True
99264,A,True
99307,B,True
99411,B,False
99583,B,True
99630,A,False
99631,B,True
99806,A,True
99912,B,True
99928,B,True
99944,B,False
99976,A,False
100026,B,False
100084,A,False
100151,B,True
100214,B,True
100367,A,True
100511,A,False
100556,B,True
100585,A,True
100807,A,True
100899,B,False
100933,A,False
101024,B,True
101041,A,True
101248,B,False
101591,A,True
101601,A,True
101664,A,True
101675,B,False
101697,B,True
101864,B,False
101880,A,False
101884,B,False
101915,A,True
101953,B,True
101961,B,False
102182,B,False
102302,B,False
102540,A,True
102573,B,False
102598,A,True
102742,B,True
102748,B,False
102753,A,False
102931,A,False
102977,A,False
103095,B,True
103308,B,False
103414,A,True
103463,B,False
103498,A,True
103555,A,False
103557,B,True
103625,A,False
103714,A,True
103804,A,False
104157,B,True
104158,B,True
104211,A,False
104553,A,False
104563,B,False
104577,A,True
104592,B,False
104686,A,True
104694,A,False
104796,A,True
104800,A,False
104899,B,True
104999,B,False
105277,A,True
105342,B,False
105632,B,False
105700,A,False
105948,A,False
106093,A,False
106422,B,False
106423,A,False
106447,A,True
106487,A,False
106523,B,False
106600,A,True
106828,A,False
106895,A,False
107040,B,True
107169,B,False
107563,A,False
107617,A,False
107662,A,False
107670,A,False
107936,B,False
107981,A,True
108052,B,False
108068,A,False
108134,A,False
108287,A,False
108303,B,False
108320,B,False
108454,A,False
108535,B,False
108608,A,False
108668,B,True
108753,B,True
109109,A,False
109111,B,True
109151,B,True
109158,B,True
109300,B,False
109366,B,True
109431,A,True
109458,B,False
109556,A,True
109578,A,False
109745,B,False
109757,A,True
109796,B,False
109838,A,False
109991,A,True
110004,A,True
110329,B,False
110479,A,False
110528,A,False
110634,A,False
110750,B,False
111162,A,True
111196,B,True
111362,B,True
111382,B,True
111496,A,False
111540,B,False
111949,A,True
111961,B,False
111981,B,False
112127,A,True
112216,B,False
112251,A,False
112355,B,False
112365,B,True
112375,A,True
112718,A,True
113086,B,False
113087,B,True
113325,A,True
113378,B,False
113462,A,True
113497,A,True
113563,A,False
113607,A,False
113621,B,True
113666,A,True
113725,B,True
113800,A,True
113888,A,True
114118,A,False
114278,A,False
114320,A,True
114360,B,False
114521,A,False
114532,A,False
114626,B,True
114859,A,False
114985,B,True
115234,A,False
115235,A,False
115498,B,True
115774,B,True
115813,B,False
115854,B,True
115980,B,False
116002,A,True
116099,B,True
116198,A,False
116247,A,False
116336,A,False
116382,B,True
116423,A,False
116430,A,False
116439,B,True
116590,A,True
116653,B,False
116793,B,True
116828,A,True
117026,A,True
117186,B,False
117195,B,False
117242,A,True
117481,A,True
117700,B,True
117728,B,False
117763,B,False
117868,A,True
117918,B,True
117992,A,True
118091,B,False
118189,A,False
118204,A,False
118555,B,False
118654,B,False
118690,A,False
118773,B,False
119142,A,False
119209,B,False
119231,A,True
119331,A,False
119464,A,True
119507,A,False
119591,B,False
119742,A,True
119784,A,False
120131,B,False
120587,A,False
120662,B,True
120664,B,True
120771,A,False
120978,A,False
121148,B,False
121179,A,False
121303,A,True
121409,A,False
121431,B,False
121476,A,False
121571,A,False
121738,B,False
122133,A,True
122211,A,False
122299,B,False
122334,A,False
122533,A,True
122635,A,True
122690,B,False
122817,B,True
122975,A,True
122981,A,False
123038,B,False
123083,B,False
123121,B,True
123318,B,True
123406,B,False
123522,B,False
123638,A,True
123904,A,False
123937,B,True
124004,A,False
124022,A,True
124379,B,False
124432,B,False
124568,B,False
124702,A,True
124729,A,True
124759,A,False
124945,A,True
125019,A,False
125035,B,False
125058,A,True
125379,A,True
125416,A,False
125523,A,True
125735,B,False
125749,B,False
125752,A,True
125925,A,True
125951,A,False
125996,B,True
126043,B,True
126289,A,True
126418,B,True
126645,A,True
126812,A,False
126972,B,False
127003,B,False
127428,A,True
127467,B,True
127487,A,True
127596,B,True
127794,A,False
127814,A,False
127839,A,False
127893,A,False
128079,A,True
128334,A,False
128346,A,True
128355,B,True
128450,B,False
128547,B,False
128817,A,False
128956,A,True
128989,B,True
129110,B,True
129131,B,True
129156,B,False
129203,B,False
129208,A,False
129260,A,False
129284,B,False
129335,B,False
129391,A,False
129682,A,True
129826,B,False
130176,B,True
130250,B,True
130260,A,False
130271,A,True
130391,A,False
130412,A,False
130417,B,True
130572,B,True
130879,A,True
131233,A,False
131261,A,False
131314,A,False
131358,B,True
131740,A,True
132154,A,False
132240,A,False
132330,A,True
132503,A,False
132756,B,False
132794,B,False
132919,B,True
132928,B,True
132961,B,True
133088,A,True
133102,B,False
133577,A,True
133783,A,False
133854,B,True
133961,B,False
134380,B,True
134381,B,True
134386,B,False
134428,B,False
134595,B,False
134621,B,True
134692,A,False
134763,B,True
134875,B,True
134885,A,True
134891,B,False
134914,A,True
135084,B,True
135220,B,True
135232,A,False
135315,A,False
135435,B,False
135479,A,False
135584,A,False
135693,A,True
135739,A,False
135910,B,False
135919,A,False
135978,A,False
136109,B,False
136363,B,False
136453,A,False
136496,B,False
136506,A,False
136638,A,False
136647,A,False
136724,B,True
136945,A,True
137089,B,False
137158,A,False
137177,A,False
137354,A,False
137380,B,True
137445,B,True
137520,A,True
137546,B,False
137570,A,True
137586,B,True
137752,B,False
137865,A,True
137911,B,True
138070,B,True
138234,A,True
138257,B,False
138315,A,False
138392,B,True
138521,A,True
138561,A,False
138622,B,True
138886,A,True
138891,A,True
138918,A,False
139072,B,False
139081,B,False
139206,B,False
139211,B,False
139264,A,True
139309,B,False
139581,B,True
139772,A,False
139856,B,False
140041,A,True
140102,B,False
140335,B,False
140468,A,True
140695,B,False
140734,A,False
140907,A,True
141059,B,False
141146,B,False
141163,A,True
141256,B,False
141275,A,True
141449,B,False
141509,A,False
141613,A,False
141698,B,False
141837,A,False
141928,B,False
141967,B,True
142162,B,False
142359,B,True
142413,B,True
142456,B,True
142665,B,True
142718,A,True
142942,B,False
142964,A,False
142985,B,True
143079,B,False
143115,B,True
143123,B,True
143284,A,False
143386,A,False
143514,A,True
143691,A,False
143939,B,True
143962,B,False
144087,A,False
144110,B,False
144120,A,True
144252,A,False
144287,A,True
144430,A,False
144470,B,False
144493,B,False
144553,A,False
144571,B,True
144664,A,True
144692,A,False
144935,A,False
145093,B,True
145225,B,True
145307,B,True
145401,A,False
145539,B,False
145578,A,False
145763,B,False
145852,A,True
145917,B,False
145938,A,True
146150,A,True
146164,B,False
146269,B,False
146394,A,True
146502,A,True
146715,B,True
146772,A,False
146836,A,False
146898,A,True
146937,B,False
146981,B,False
147246,B,True
147292,B,False
147334,B,True
147450,B,False
147507,B,False
147572,B,True
147639,A,False
147685,B,True
147826,A,False
147830,B,True
147836,A,False
148012,A,False
148083,B,False
148166,A,True
148248,B,False
148254,A,False
148358,A,False
148453,B,False
148488,B,False
148574,B,False
148772,B,True
148811,B,False
148974,B,True
149244,A,False
149272,B,False
149329,A,False
149473,A,False
149574,A,True
149626,B,False
149641,A,False
149721,B,True
149805,B,True
149859,B,False
149896,B,True
150039,A,True
150056,B,False
150076,B,True
150102,B,True
150178,B,False
150398,B,True
150529,A,False
150547,B,False
150648,A,False
150818,B,True
150860,B,False
150861,B,True
150936,B,False
151171,B,False
151188,B,False
151255,B,True
151297,B,True
151354,A,True
151367,A,True
151387,B,False
151428,A,False
151543,B,True
151588,B,True
151823,A,False
151846,A,True
152136,A,False
152233,B,False
152269,B,False
152371,A,False
152596,A,True
152747,A,False
152824,B,True
153206,B,False
153448,A,False
153509,B,False
153715,B,False
153746,B,False
153879,B,False
153921,A,False
154098,B,True
154141,B,True
154165,B,False
154254,A,True
154280,B,False
154381,B,True
154392,A,True
154490,B,True
154535,A,True
154658,B,True
154666,B,True
154849,A,False
154995,B,False
155074,A,True
155505,A,True
155627,A,False
155665,B,True
155726,B,True
155827,B,False
155888,A,False
155941,B,False
155958,B,True
156189,A,False
156220,A,True
156370,A,False
156403,B,True
156485,A,True
156697,A,True
156750,A,False
156852,A,True
156990,B,False
157002,B,False
157010,A,False
157098,B,False
157124,A,False
157149,B,False
157151,A,False
157168,B,True
157385,B,False
157553,A,True
157584,A,True
157624,B,True
157879,B,True
157929,B,False
158094,A,True
158279,A,False
158375,B,True
158459,B,True
158501,B,False
158595,B,True
158623,B,False
158679,A,True
158710,A,False
158820,B,True
159013,A,False
159030,A,False
159050,A,True
159068,A,False
159201,A,False
159273,A,False
159335,B,True
159569,B,True
159606,B,False
159637,A,False
159790,A,False
159811,A,False
159871,B,True
159887,A,False
159961,B,False
160149,A,False
160152,A,False
160169,A,False
160191,A,True
160268,A,True
160315,A,True
160475,B,False
160706,A,True
160982,B,True
161056,B,False
161358,B,True
161890,B,False
161945,B,True
161999,A,False
162054,A,False
162085,A,True
162166,A,True
162205,A,True
162303,A,False
162399,B,False
162493,A,False
162877,A,False
163067,B,True
163075,B,True
163117,B,False
163195,B,True
163209,A,False
163279,B,True
163504,A,False
163607,B,False
163689,B,True
163693,A,False
163794,A,True
163912,B,True
164005,A,False
164057,B,True
164270,B,False
164319,A,True
164380,B,False
164413,A,True
164652,B,True
164711,A,True
164951,B,False
165037,B,False
165122,B,False
165459,B,False
165507,B,False
165565,A,True
165633,A,True
165643,B,False
165807,B,True
165902,A,False
165967,B,False
165990,B,True
166021,A,False
166026,A,False
166189,B,False
166349,A,False
166402,B,True
166505,A,False
166549,B,False
166647,B,False
166818,B,False
166972,B,True
167030,A,False
167120,A,True
167220,B,False
167311,B,False
167424,B,False
167446,A,False
167447,A,False
167625,B,True
167993,A,False
168124,B,False
168191,A,True
168212,A,False
168425,B,False
168439,B,False
168613,A,True
168648,A,True
168732,A,False
168790,B,False
168885,B,False
169163,A,False
169254,A,True
169278,A,True
169330,B,False
169714,A,True
169909,A,False
170045,B,True
170086,B,False
170171,A,True
170172,A,True
170266,B,False
170496,A,True
170502,B,True
170510,B,False
170619,A,False
170811,B,False
170887,B,False
171130,A,True
171285,B,True
171406,A,True
171635,B,False
171875,A,True
171972,B,False
172077,A,False
172138,B,False
172353,A,True
172381,B,True
172400,B,True
172857,A,True
173039,A,True
173129,B,True
173351,B,True
173419,B,False
173478,B,True
173654,A,False
173708,B,True
173971,A,False
173991,A,False
174156,B,False
174194,B,False
174195,B,False
174304,B,True
174328,A,True
174426,A,False
174807,A,True
174817,B,False
174841,A,False
174944,B,False
175086,A,False
175124,A,True
175200,A,True
175324,B,True
175412,A,False
175561,B,True
175628,A,False
175831,B,True
176021,B,True
176027,B,False
176094,A,False
176322,A,True
176347,A,False
176487,A,False
176813,A,True
176905,A,True
177192,B,False
177321,A,False
177328,A,True
177337,B,True
177373,B,False
177454,A,True
177463,B,False
177477,B,True
177685,B,False
177932,A,False
178129,B,True
178169,B,True
178234,A,False
178260,A,True
178587,B,True
178610,A,True
178620,A,False
178805,B,False
178912,A,False
179102,A,True
179208,A,False
179221,B,True
179233,B,False
179386,B,True
179551,B,True
179716,B,False
179795,A,True
179891,B,True
179911,A,True
179952,A,False
179959,A,True
180120,B,True
180459,B,False
180683,B,True
180746,B,False
180914,A,True
180998,B,False
181059,B,False
181212,B,True
181392,A,False
181483,B,False
181490,B,False
181853,B,False
181945,A,False
181949,A,False
182050,B,False
182059,A,False
182082,B,False
182201,A,True
182272,B,True
182400,A,True
182409,B,False
182517,A,False
182550,B,True
182749,A,False
183329,A,True
183550,A,False
183591,B,False
183738,A,False
183758,A,True
183971,A,False
184071,A,False
184112,B,False
184265,B,True
184342,A,False
184819,A,False
184871,B,True
184938,B,False
185021,A,True
185056,A,True
185074,B,True
185137,B,False
185157,B,False
185368,A,False
185512,B,True
185666,B,True
185728,B,False
185735,A,True
185777,B,False
185984,A,True
186065,A,False
186070,B,True
186071,A,True
186160,A,False
186354,B,False
186386,A,False
186465,A,False
186532,B,False
186621,B,True
186768,B,True
186790,A,False
186890,A,False
187084,A,True
187168,B,False
187424,B,True
187680,B,False
187709,B,False
188036,A,False
188051,A,False
188113,A,False
188134,B,True
188592,B,False
188683,B,False
188801,A,False
188805,A,False
188813,A,True
188880,A,False
189024,B,True
189066,B,True
189098,A,True
189102,A,False
189116,A,True
189329,B,False
189473,A,True
189553,B,True
189748,B,False
189970,B,True
190092,A,False
190151,A,True
190211,A,True
190226,B,True
190245,B,False
190265,B,False
190421,B,True
190424,A,True
190570,A,True
190691,A,True
190695,A,False
190740,B,False
190832,B,True
190851,B,False
190942,B,False
190985,A,False
191098,B,False
191123,A,False
191259,A,True
191329,B,False
191357,B,False
191440,A,True
191952,B,False
192195,A,False
192199,A,True
192237,A,False
192338,A,True
192398,A,True
192424,B,True
192506,B,True
192641,B,False
192863,B,False
192877,A,False
193023,B,False
193180,B,False
193226,A,True
193252,A,True
193406,A,False
193423,A,True
193471,B,True
193572,A,False
193660,A,True
194165,B,True
194177,B,True
194208,A,True
194228,A,True
194528,A,False
195031,A,True
195134,A,True
195218,B,True
195475,B,False
195667,B,False
195673,A,True
195721,A,True
195752,A,False
195806,A,True
196020,B,False
196073,A,True
196293,B,True
196344,A,True
196451,B,False
196526,B,True
196639,B,False
196687,B,False
197207,B,False
197217,A,False
197348,A,False
197645,A,True
197765,B,True
197798,A,False
197807,B,False
197915,A,True
198005,B,True
198189,A,False
198209,B,False
198250,B,False
198256,B,True
198271,A,True
198390,A,False
198415,B,False
198473,B,True
198741,A,False
198750,B,True
198783,A,False
198901,A,True
198914,B,True
198960,B,False
199083,A,True
199150,A,False
199739,B,True
199869,A,True
199912,A,False
199929,B,True
200006,A,True
200073,A,True
200267,B,False
200398,B,True
200463,B,True
200499,B,True
200587,A,True
200615,B,True
200873,B,False
200915,B,False
201136,B,False
201194,B,True
201344,A,True
201345,B,False
201516,A,True
201538,B,True
201717,A,False
201766,A,True
201830,B,False
201868,B,False
201901,A,False
201975,B,False
202226,A,False
202542,A,True
202730,B,False
202881,B,False
202935,A,False
202938,A,False
202961,B,False
203165,A,True
203342,A,False
203401,B,False
203427,B,True
203446,B,True
203623,B,True
203639,A,False
203696,A,False
203804,A,True
203880,B,True
203926,A,False
203970,B,True
204002,B,False
204018,B,True
204040,B,False
204061,B,False
204106,B,True
204229,B,True
204244,B,False
204251,A,True
204307,A,True
204517,B,False
204652,A,False
204714,B,False
204809,B,False
204843,A,False
204870,B,True
204957,B,False
205049,A,False
205112,B,True
205146,B,True
205306,A,False
205322,A,False
205475,B,True
205674,B,True
205840,A,True
205855,A,True
205881,A,True
205938,A,True
205958,B,False
205965,A,True
206431,B,True
206635,B,False
206819,A,False
206857,A,False
206963,A,True
206979,A,True
207006,B,True
207058,B,False
207142,A,True
207282,A,False
207388,B,False
207538,B,False
207551,A,True
207557,B,True
207657,A,False
208374,B,False
208389,A,False
208509,B,False
208551,A,True
208564,A,True
208764,B,True
208900,A,True
208979,B,False
208993,B,True
209045,B,True
209143,B,True
209187,A,False
209281,A,False
209488,A,False
209635,B,False
209644,B,True
209854,A,False
209988,A,True
210186,A,False
210202,B,False
210220,A,True
210382,B,True
210466,B,False
210755,A,False
210788,B,True
210950,B,False
210999,B,False
211052,A,False
211196,A,False
211268,B,False
211929,B,False
211975,A,False
211983,A,True
212109,A,True
212274,A,False
212303,B,False
212517,B,True
212581,B,False
212593,B,True
212771,A,False
213035,B,False
213040,A,False
213336,A,False
213350,B,True
213447,B,False
213526,B,True
213624,A,False
213632,A,False
213633,A,False
213843,A,False
213919,A,False
214005,A,False
214048,B,True
214056,B,False
214300,B,True
214344,B,True
214469,A,True
214481,A,False
214494,B,True
214681,B,False
214700,B,False
214785,A,False
214948,B,False
215092,A,False
215131,B,True
215241,A,False
215414,A,False
215434,B,True
215467,B,False
215597,B,True
